"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04610","Complement and coagulation cascades","78/5851","86/8662",3.7833216811671e-07,4.50127901587256e-06,2.39713083685521e-06,"BDKRB1/F13B/CFHR5/SERPINE1/MBL2/BDKRB2/A2M/THBD/CR1L/SERPING1/F2RL2/F2R/PROS1/F2RL3/C5/PLG/FGA/C6/C3AR1/F5/C8A/C8B/CPB2/VSIG4/ITGB2/F8/CFHR2/C1R/SERPIND1/C8G/C2/CFB/SERPINB2/VTN/ITGAM/ITGAX/F9/VWF/CFI/C9/C3/C7/PROC/F2/CFH/CFHR4/CR2/MASP1/SERPINA1/PROCR/SERPINF2/F7/F10/SERPINA5/PLAU/PLAUR/C4B/C5AR1/F3/F13A1/PLAT/F12/KNG1/KLKB1/SERPINC1/FGB/FGG/F11/C1S/C1QB/CD46/C4BPB/C4BPA/SERPINE2/CFHR1/CD55/CR1/MASP2",78
"hsa04934","Cushing syndrome","132/5851","155/8662",3.8620441260445e-07,4.50127901587256e-06,2.39713083685521e-06,"WNT7A/CREB5/E2F1/ADCY1/E2F2/WNT8B/TCF7L1/CRH/ATF6B/CCNE1/GNAI1/MC2R/RASD1/FZD1/MAP2K1/KCNA4/CDKN2A/CDKN2B/TCF7L2/FZD9/WNT3A/ADCY6/EGFR/FZD7/CACNA1S/ITPR3/CAMK2B/CCND1/FH/WDR5B/KCNK3/LDLR/FZD10/FZD5/FZD4/FZD2/AGT/WNT9A/WNT6/CACNA1C/ADCY4/CACNA1I/MRAP/RB1/PLCB2/ADCY2/ADCY9/GNAI2/PRKACA/CACNA1F/ADCY8/CYP11B1/PLCB4/PRKACG/RAP1B/APC2/CRHR2/ITPR2/CREB3L1/FZD3/NCEH1/PLCB3/ADCY7/GNAS/GSK3B/STAR/SP1/AGTR1/AIP/SCARB1/WNT2/PDE8B/MAP2K2/ARNT/ITPR1/ADCY3/TCF7/BRAF/CREB3L2/APC/DVL3/CACNA1G/CACNA1H/CTNNB1/ADCY5/CACNA1D/PDE11A/AXIN2/DVL1/GNAI3/CYP11A1/MAPK1/GNAQ/AXIN1/AHR/WNT3/WNT9B/ATF4/USP8/WNT16/HSD3B2/FZD8/WNT7B/CDK4/CCNE2/LEF1/PLCB1/WNT10A/NR5A1/WNT5A/NR4A1/HSD3B1/WNT8A/ASH2L/KCNK2/CAMK2G/DVL2/CREB3L3/WDR5/CAMK2A/FZD6/CDKN1B/CAMK2D/WNT11/WNT1/WNT5B/WNT4/ORAI1/CREB1/MEN1/AIPL1/PRKACB",132
"hsa04310","Wnt signaling pathway","146/5851","174/8662",6.4371627763304e-07,7.25253672799892e-06,3.86229766579824e-06,"CSNK1A1L/DKK1/CREBBP/LRP6/WNT7A/FRAT1/CSNK2A3/SFRP4/DKK2/FRAT2/WNT8B/TCF7L1/CER1/BAMBI/RBX1/EP300/GPC4/DKK4/NKD1/FZD1/MAPK8/TCF7L2/PRKCB/FZD9/CXXC4/CUL1/WNT3A/SFRP5/MYC/SOX17/RAC1/CTNND2/FZD7/CAMK2B/SFRP2/CCND1/SOST/FZD10/FZD5/FZD4/FZD2/TP53/VANGL2/WNT9A/FRZB/WNT6/JUN/ZNRF3/NFATC2/PLCB2/NFATC1/TLE1/DAAM2/ROR2/PRKACA/CSNK2A1/RSPO2/RSPO3/PLCB4/PRICKLE2/PRKACG/CHD8/CSNK1E/TBL1X/NFATC3/RAC2/SMAD4/APC2/FZD3/PLCB3/MAPK9/CCDC88C/GSK3B/CTBP2/PRKCG/TLE4/WNT2/SKP1/MAP3K7/TCF7/MCC/APC/DVL3/RNF43/CTNNB1/ROR1/LRP5/TLE6/TLE2/TBL1XR1/AXIN2/DVL1/ROCK2/CACYBP/TBL1Y/NFATC4/RSPO4/AXIN1/INVS/WNT3/WNT9B/SIAH1/PRICKLE1/LGR4/PRICKLE3/PRKCA/NKD2/CSNK2B/SFRP1/DAAM1/WNT16/PPP3CB/FZD8/MAPK10/LGR5/SENP2/PRICKLE4/WNT7B/LEF1/PPARD/CSNK2A2/PLCB1/PORCN/CCND2/WNT10A/WNT5A/NOTUM/WNT8A/RHOA/CAMK2G/DVL2/CAMK2A/FZD6/SMAD3/CAMK2D/WNT11/CSNK1A1/WNT1/CTBP1/WNT5B/WNT4/LGR6/NLK/RAC3/MMP7/PRKACB",146
"hsa04022","cGMP-PKG signaling pathway","140/5851","167/8662",1.22065050899023e-06,1.33090281302805e-05,7.08764811671744e-06,"ADRA1D/IRS2/ADRA1A/CREB5/ADCY1/AKT3/PLN/CALML5/CALML3/ATF6B/GNAI1/IRS4/SRF/ROCK1/PIK3R6/BDKRB2/KCNMB4/ADRA2A/ADRB1/SLC25A5/ADRB2/MAP2K1/NPPC/NPPB/PDE3A/ADRA2C/SLC25A31/MYH6/MYH7/ADCY6/PIK3CG/CACNA1S/ITPR3/IRS1/ADRA2B/ATP2B1/KCNJ8/ATP2B2/ADORA3/RGS2/SLC8A1/NPR1/CACNA1C/SLC25A6/ADCY4/NFATC2/PLCB2/ADCY2/ADCY9/NFATC1/MYL9/INSR/ATP2A3/GNAI2/PDE3B/PPP1R12A/PRKCE/CACNA1F/ADCY8/GNA13/PLCB4/ATP1B2/NFATC3/GUCY1A2/NOS3/ITPR2/ATP1A2/CREB3L1/CNGA1/ATP1A4/KCNU1/NPR2/PLCB3/ADCY7/ATP1A1/BAD/CNGB1/CALM1/ADRB3/AGTR1/KCNMA1/GTF2I/PDE5A/SLC8A3/MAP2K2/PIK3R5/ITPR1/SLC8A2/ADCY3/VDAC1/MYLK/MEF2C/CREB3L2/ATP1A3/MYLK3/KCNMB3/FXYD2/RAF1/ADCY5/CACNA1D/PDE2A/ROCK2/ADORA1/GNAI3/NFATC4/MEF2D/MAPK1/GNAQ/MYLK2/EDNRB/MEF2B/BORCS8-MEF2B/TRPC6/PRKG1/ATF4/ATP2A1/ATP1B4/ATP1B3/ADRA1B/PPP3CB/KCNMB1/GNA12/PLCB1/ATP2B3/GTF2IRD1/RHOA/MEF2A/MYLK4/KNG1/CREB3L3/AKT1/ATP2A2/KCNMB2/PRKG2/AKT2/VASP/OPRD1/CREB1/ATP1B1/ATP2B4",140
"hsa05417","Lipid and atherosclerosis","176/5851","215/8662",1.43194958961016e-06,1.51249675402573e-05,8.05471644155717e-06,"APOB/IFNA16/IFNA7/LBP/CCL3/MMP9/IFNA10/AKT3/JAK2/CALML5/CALML3/PYCARD/RXRB/HSPA1A/HSPA1B/HSPA1L/TNF/CYP2B6/VCAM1/HSPA5/TICAM2/POU2F1/ICAM1/IFNB1/IFNA21/SELP/MAPK8/HSPA2/CD40LG/CYBB/CASP6/CXCL2/IRAK1/MMP1/IFNA14/IFNA5/IFNA2/IFNA8/CXCL1/CXCL3/IFNA6/IFNA13/TLR4/NOX1/HSPD1/HSPA6/IL12B/APOA4/MAP3K5/PIK3CA/ATF6/RAC1/TICAM1/CAMK2B/NRAS/LDLR/CASP8/TP53/MAP2K3/STAT3/NCF2/FASLG/JUN/NCF4/ABCG1/NFATC2/TAB1/HRAS/PLCB2/BID/NFATC1/MAPK12/MIB1/PLCB4/ABCA1/CYP2C9/CYP2C8/EIF2S1/NFATC3/RAP1B/NOS3/MAP2K4/RXRG/CD40/SELE/IKBKB/PLCB3/MAPK9/BAD/LY96/ERN1/PTK2/GSK3B/CALM1/TLR6/HSPA4/CYP2A7/HSP90AA1/CD14/PIK3R1/TRAF3/CHUK/VAV2/MMP3/SOD2/ITPR1/APAF1/POU2F2/MAP3K7/IKBKE/IRAK4/TRAF6/RELA/IL12A/PIK3R3/MAP2K6/NFE2L2/NLRP3/PIK3CD/ROCK2/SRC/MAPK1/FOS/IRF7/LYN/OLR1/BCL2L1/MAPK11/VAV1/RXRA/CYCS/PRKCA/ATF4/AGER/PLCG1/HSPA8/IL1B/POU2F3/VAV3/PPP3CB/MAPK10/PIK3CB/VLDLR/TANK/PIK3R2/MAPK13/XBP1/TNFRSF10B/TNFRSF10A/CASP7/PLCB1/FAS/IFNA4/NFKB1/RHOA/CASP3/CAMK2G/TBK1/HSP90B1/TAB2/CAMK2A/AKT1/BAX/MAPK14/CAMK2D/CCL2/HSP90AB1/TLR2/EIF2AK3/AKT2/CASP1/TNFRSF1A/ARHGEF1/KRAS/CYP2J2/CDC42",176
"hsa04072","Phospholipase D signaling pathway","125/5851","148/8662",2.02806787282148e-06,2.06089141567279e-05,1.09751613852397e-05,"SHC4/DGKK/AVP/ADCY1/AKT3/PLPP3/LPAR3/PIK3R6/RRAS/PLA2G4A/AVPR1A/MAP2K1/PLA2G4D/PIP5K1C/GRM3/ARF6/EGF/F2R/PIK3CA/ADCY6/PIK3CG/GRM5/EGFR/PLD1/NRAS/AVPR1B/DNM3/CXCR1/GRM7/AGT/ADCY4/HRAS/PLCB2/ADCY2/ADCY9/INSR/PDGFRA/ADCY8/RAPGEF3/PDGFD/GNA13/PLCB4/RALGDS/CYTH4/PIP5K1A/PLCB3/ADCY7/GNAS/DGKB/PLD2/LPAR5/KIT/SHC3/PIP5K1B/DGKQ/AGTR1/SHC2/PIK3R1/MAP2K2/PIK3R5/GRM4/GRM6/PDGFA/PLCG2/GRM1/ADCY3/GRM8/DGKI/GRM2/PDGFC/DGKZ/SOS1/RAF1/ADCY5/DNM2/PIK3R3/F2/CYTH1/PIK3CD/MTOR/AGPAT3/FCER1A/DGKH/MAPK1/LPAR6/AGPAT5/SYK/RRAS2/PTK2B/PRKCA/AGPAT1/PLCG1/PTGFR/PDGFRB/DGKG/PIK3CB/SOS2/PIK3R2/LPAR4/AVPR2/SPHK2/GNA12/LPAR1/PLCB1/DGKA/PLA2G4E/DGKE/PLA2G4F/RHOA/AGPAT2/TSC1/AKT1/FYN/GAB1/PLA2G4C/TSC2/CYTH3/AKT2/DGKD/GAB2/CYTH2/SHC1/KRAS/CXCR2/MS4A2",125
"hsa05163","Human cytomegalovirus infection","183/5851","225/8662",2.07308603943416e-06,2.06089141567279e-05,1.09751613852397e-05,"IFNA16/IFNA7/PTGER2/CCL3/CCL4/CRK/IFNA10/CREB5/E2F1/ADCY1/PTGER1/BCAR1/CX3CL1/E2F2/AKT3/GNG11/CALML5/CALML3/TNF/HLA-E/ATF6B/GNAI1/PTGER4/ROCK1/GNG10/IFNB1/IFNA21/MAP2K1/IFNA14/IFNA5/IFNA2/IFNA8/CDKN2A/IFNA6/IFNA13/PRKCB/EIF4EBP1/GNG3/PIK3CA/MYC/CCR1/GNG8/ADCY6/EGFR/FADD/RAC1/ITGB3/ITPR3/MDM2/CCND1/GNG13/NRAS/CCR5/CASP8/CXCR4/TP53/STAT3/GNG12/FASLG/GNB1/ADCY4/RB1/NFATC2/HRAS/PLCB2/ADCY2/BID/ADCY9/B2M/NFATC1/MAPK12/ELK1/GNAI2/PRKACA/PDGFRA/AKAP13/ADCY8/HLA-F/TAP2/HLA-A/ARHGEF12/HLA-B/TAPBP/GNA13/HLA-C/PLCB4/PRKACG/NFATC3/RAC2/ITPR2/CREB3L1/IKBKB/PLCB3/GNB4/GNB2/ADCY7/GNB3/GNAS/PDIA3/PTK2/GSK3B/CALM1/GNG2/IL1R1/SP1/PRKCG/PIK3R1/CHUK/MAP2K2/PTGS2/ITPR1/ADCY3/CREB3L2/PXN/ARHGEF11/CTNNB1/RELA/SOS1/RAF1/ADCY5/PIK3R3/ITGAV/MAP2K6/IL6R/PIK3CD/JAK1/MTOR/ROCK2/GNAI3/NFATC4/SRC/MAPK1/GNAQ/IL10RB/MAPK11/PTK2B/CYCS/CRKL/PRKCA/ATF4/HLA-G/TAP1/IL1B/PPP3CB/PIK3CB/SOS2/PIK3R2/GNB5/RIPK1/MAPK13/CDK4/GNA12/PLCB1/RPS6KB2/FAS/IFNA4/CALR/NFKB1/RHOA/CASP3/TBK1/CREB3L3/CXCL12/TSC1/CCR3/AKT1/BAX/MAPK14/TRAF5/VEGFA/CCL2/TSC2/AKT2/TNFRSF1A/IL10RA/ARHGEF1/KRAS/RAC3/CREB1/CXCR2/RPS6KB1/PRKACB/PTGER3",183
"hsa04062","Chemokine signaling pathway","158/5851","192/8662",2.66131438404609e-06,2.57006931945022e-05,1.36867596893799e-05,"GRK1/SHC4/CCL18/CCL3/CCL4/CRK/CCL15/ADCY1/CCL22/CXCR3/BCAR1/CX3CL1/AKT3/CCR7/JAK2/GNG11/CCR4/GNAI1/CCL27/ROCK1/PIK3R6/XCL2/XCL1/GNG10/MAP2K1/CXCL2/CXCL9/CXCL10/CXCL13/ELMO1/CCR10/PF4V1/CXCL1/PF4/PPBP/CXCL5/CXCL3/PRKCB/GNG3/CXCR6/PIK3CA/CCR1/CCR2/GRK5/GNG8/ADCY6/PIK3CG/GRK7/RAC1/CCL11/CCL8/CCL1/CXCR5/GNG13/NRAS/CCR5/CCR8/CXCR1/CXCR4/XCR1/STAT3/GNG12/GNB1/ADCY4/PREX1/HRAS/PLCB2/ADCY2/ADCY9/TIAM1/CCL16/GNAI2/PRKACA/FOXO3/HCK/ADCY8/PLCB4/PRKACG/RASGRP2/RAP1B/RAC2/IKBKB/PLCB3/GNB4/GNB2/ADCY7/GNB3/PARD3/BAD/GSK3A/SHC3/PTK2/GSK3B/GNG2/DOCK2/SHC2/PIK3R1/CHUK/PIK3R5/VAV2/PLCG2/ADCY3/BRAF/JAK3/STAT5B/PXN/STAT2/PRKCD/RELA/SOS1/RAF1/ADCY5/PIK3R3/PRKCZ/PIK3CD/ROCK2/GNAI3/NFKBIB/SRC/MAPK1/GNAQ/LYN/CCL23/VAV1/PTK2B/CRKL/CCL28/PLCG1/VAV3/PAK1/PIK3CB/SOS2/PIK3R2/GNB5/GRK4/PLCB1/ARRB2/WAS/CCL25/NFKB1/CCR6/RHOA/ITK/CXCL12/CCR3/AKT1/FGR/ARRB1/CCL2/AKT2/SHC1/CX3CR1/KRAS/RAC3/CXCR2/STAT1/CDC42/PRKACB",158
"hsa04974","Protein digestion and absorption","90/5851","103/8662",2.75175361559111e-06,2.58359089463832e-05,1.37587680779555e-05,"COL6A1/COL27A1/COL4A5/COL5A3/CPA3/COL14A1/DPP4/KCNJ13/KCNK5/COL22A1/SLC16A10/COL4A4/COL6A3/COL6A6/CELA3B/COL6A5/SLC3A2/COL16A1/SLC8A1/COL11A1/CELA2A/COL3A1/COL18A1/CPB2/KCNQ1/COL6A2/COL10A1/SLC3A1/COL8A1/SLC9A3/COL11A2/PRSS1/ATP1B2/COL24A1/XPNPEP2/COL20A1/COL28A1/ATP1A2/CPA2/MEP1A/ATP1A4/COL5A2/COL12A1/ATP1A1/COL23A1/COL25A1/COL9A2/PGA3/COL13A1/CPB1/COL1A1/MME/COL5A1/COL7A1/SLC36A3/SLC36A2/SLC8A3/COL1A2/COL15A1/SLC8A2/ATP1A3/COL4A3/CELA3A/COL8A2/FXYD2/SLC1A5/CELA2B/COL4A2/COL4A1/CTRB2/COL19A1/ATP1B4/ATP1B3/COL4A6/PRSS3/ACE2/KCNE3/COL17A1/COL2A1/PRCP/SLC7A8/PGA5/ELN/SLC7A7/COL9A1/SLC6A19/SLC7A9/COL21A1/SLC36A1/ATP1B1",90
"hsa01522","Endocrine resistance","86/5851","98/8662",3.06849690095712e-06,2.72934724348291e-05,1.45349853203232e-05,"BIK/SHC4/MMP9/E2F1/ADCY1/E2F2/AKT3/DLL1/NOTCH4/NOTCH1/MAPK8/MAP2K1/ERBB2/CDKN2A/PIK3CA/ADCY6/EGFR/HBEGF/MDM2/CCND1/NRAS/TP53/JUN/ADCY4/JAG1/RB1/HRAS/ADCY2/ADCY9/MAPK12/IGF1R/PRKACA/ABCB11/ADCY8/PRKACG/JAG2/ADCY7/MAPK9/NOTCH3/GNAS/BAD/SHC3/PTK2/ESR1/SP1/SHC2/PIK3R1/MAP2K2/ADCY3/BRAF/SOS1/NOTCH2/CARM1/RAF1/ADCY5/PIK3R3/MED1/PIK3CD/MTOR/NCOA3/SRC/MAPK1/FOS/MAPK11/MMP2/CYP2D6/DLL3/MAPK10/PIK3CB/SOS2/PIK3R2/ESR2/MAPK13/CDK4/RPS6KB2/DLL4/AKT1/BAX/MAPK14/CDKN1B/AKT2/SHC1/NCOR1/KRAS/RPS6KB1/PRKACB",86
"hsa05231","Choline metabolism in cancer","86/5851","98/8662",3.06849690095712e-06,2.72934724348291e-05,1.45349853203232e-05,"DGKK/AKT3/PLPP3/PLA2G4A/MAPK8/SLC22A4/MAP2K1/PLA2G4D/SLC44A1/PIP5K1C/PRKCB/EIF4EBP1/EGF/PIK3CA/EGFR/RAC1/SLC22A3/PLD1/NRAS/JUN/WASF3/HRAS/PDGFRA/PDGFD/SLC5A7/SLC44A3/RALGDS/RAC2/PIP5K1A/CHPT1/HIF1A/MAPK9/DGKB/PLD2/SLC44A2/PIP5K1B/SP1/DGKQ/PRKCG/PIK3R1/MAP2K2/PDGFA/SLC22A2/DGKI/PDGFC/DGKZ/SOS1/RAF1/PIK3R3/SLC44A5/PIK3CD/MTOR/DGKH/MAPK1/FOS/CHKB/PRKCA/WASF1/SLC44A4/PLCG1/PDGFRB/DGKG/MAPK10/PIK3CB/SOS2/PCYT1A/PIK3R2/SLC22A1/RPS6KB2/DGKA/WAS/PLA2G4E/DGKE/SLC22A5/PLA2G4F/TSC1/AKT1/PLA2G4C/TSC2/AKT2/DGKD/CHKA/KRAS/RAC3/RPS6KB1/WASF2",86
"hsa05135","Yersinia infection","116/5851","137/8662",3.65803238648598e-06,3.1673699987677e-05,1.68676508810114e-05,"CRK/BCAR1/AKT3/PYCARD/TNF/DOCK1/IL2/ROCK1/IFNB1/MAPK8/LIMK1/RPS6KA3/WASL/MAP2K1/RPS6KA6/IRAK1/ELMO1/RHOG/TLR4/PIP5K1C/ARF6/PIK3CA/RAC1/TICAM1/MAP2K3/JUN/ZAP70/NFATC2/TAB1/NFATC1/ARHGEF7/MAPK12/SKAP2/WIPF2/ITGA5/ARHGEF12/PKN1/NFATC3/RAC2/PIP5K1A/MAP2K4/IKBKB/MAPK9/PTK2/GSK3B/ARHGEF28/PIP5K1B/ITGB1/WIPF3/PIK3R1/CHUK/BAIAP2/FN1/MAP2K2/VAV2/ARPC1B/MAP3K7/ITGA4/RPS6KA2/PXN/ACTR3C/IRAK4/TRAF6/RELA/PIK3R3/NLRC4/MAP2K6/WIPF1/LCK/CD8B/NLRP3/ACTR2/PIK3CD/ROCK2/RPS6KA1/ELMO2/SRC/MAPK1/FOS/GNAQ/MAPK11/VAV1/PTK2B/ACTG1/CRKL/PLCG1/IL1B/PKN2/VAV3/MAPK10/PIK3CB/PIK3R2/LCP2/ACTB/MAPK13/WAS/NFKB1/RHOA/TBK1/ARPC1A/TAB2/AKT1/LAT/MEFV/MAPK14/CCL2/GIT2/AKT2/CASP1/ARHGEF1/ARPC2/RAC3/IL10/FCGR2A/WASF2/CDC42",116
"hsa05217","Basal cell carcinoma","58/5851","63/8662",3.74836686244698e-06,3.1673699987677e-05,1.68676508810114e-05,"BMP2/GADD45G/WNT7A/WNT8B/TCF7L1/GLI1/FZD1/TCF7L2/PTCH2/FZD9/WNT3A/FZD7/FZD10/FZD5/FZD4/FZD2/TP53/WNT9A/WNT6/BMP4/APC2/FZD3/SMO/KIF7/GSK3B/WNT2/PTCH1/TCF7/POLK/APC/DVL3/CTNNB1/DDB2/AXIN2/GADD45A/DVL1/AXIN1/WNT3/WNT9B/SUFU/WNT16/FZD8/WNT7B/LEF1/GLI3/WNT10A/WNT5A/GLI2/SHH/WNT8A/HHIP/DVL2/FZD6/BAX/WNT11/WNT1/WNT5B/WNT4",58
"hsa04916","Melanogenesis","88/5851","101/8662",4.67033520967931e-06,3.85017878261368e-05,2.05039106766409e-05,"CREBBP/EDN1/WNT7A/ADCY1/WNT8B/TYR/TCF7L1/CALML5/CALML3/GNAI1/EP300/FZD1/MAP2K1/TCF7L2/PRKCB/FZD9/WNT3A/ADCY6/FZD7/CAMK2B/NRAS/FZD10/FZD5/FZD4/FZD2/WNT9A/WNT6/ADCY4/HRAS/PLCB2/ADCY2/ADCY9/GNAI2/PRKACA/DCT/ADCY8/PLCB4/PRKACG/CREB3L1/FZD3/PLCB3/ADCY7/GNAS/KIT/GSK3B/CALM1/PRKCG/WNT2/MAP2K2/ADCY3/TCF7/CREB3L2/DVL3/CTNNB1/RAF1/ADCY5/MITF/DVL1/GNAI3/MAPK1/GNAQ/TYRP1/WNT3/WNT9B/EDNRB/PRKCA/WNT16/FZD8/WNT7B/MC1R/LEF1/PLCB1/WNT10A/WNT5A/WNT8A/CAMK2G/DVL2/CREB3L3/CAMK2A/FZD6/CAMK2D/WNT11/WNT1/WNT5B/WNT4/KRAS/CREB1/PRKACB",88
"hsa04725","Cholinergic synapse","97/5851","113/8662",6.61018739762328e-06,5.31962700094445e-05,2.83293745612426e-05,"CREB5/ADCY1/AKT3/JAK2/GNG11/GNAI1/CHRM5/KCNJ3/KCNJ4/SLC18A3/PIK3R6/KCNJ14/GNG10/KCNJ2/MAP2K1/PRKCB/GNG3/CHRM1/PIK3CA/GNG8/ADCY6/CHRM4/PIK3CG/CACNA1S/ITPR3/CAMK2B/GNG13/NRAS/KCNJ12/KCNJ18/GNG12/GNB1/CACNA1C/ADCY4/KCNQ1/HRAS/PLCB2/ADCY2/ADCY9/CHRNA4/GNAI2/PRKACA/KCNQ2/CACNA1F/ADCY8/PLCB4/PRKACG/SLC5A7/ITPR2/CREB3L1/PLCB3/GNB4/GNB2/ADCY7/GNB3/CHRM3/CACNA1A/KCNQ5/GNG2/PRKCG/CHRNA6/PIK3R1/PIK3R5/KCNQ3/ITPR1/ADCY3/CREB3L2/ADCY5/CACNA1D/PIK3R3/PIK3CD/GNAI3/MAPK1/FOS/GNAQ/CHRNA3/CHRNB4/PRKCA/ATF4/PIK3CB/PIK3R2/GNB5/CACNA1B/PLCB1/ACHE/CHRM2/CAMK2G/CREB3L3/CAMK2A/AKT1/FYN/CAMK2D/AKT2/KRAS/CREB1/CHRNB2/PRKACB",97
"hsa04071","Sphingolipid signaling pathway","103/5851","121/8662",7.79358671078683e-06,6.1261216470836e-05,3.26243164637588e-05,"PTEN/SPTSSA/SGPP1/S1PR4/AKT3/TNF/GNAI1/ROCK1/BDKRB2/SGPP2/PPP2CB/MAPK8/MAP2K1/S1PR3/PRKCB/MAP3K5/PIK3CA/S1PR5/RAC1/PLD1/NRAS/ADORA3/TP53/PPP2R3B/PPP2R5E/HRAS/PLCB2/BID/ABCC1/NSMAF/MAPK12/GNAI2/PPP2R2D/PRKCE/GNA13/PLCB4/PPP2R5D/PPP2R5B/SGMS1/RAC2/NOS3/S1PR2/CERS3/CERS4/PLCB3/MAPK9/PPP2R2B/CTSD/PLD2/PRKCG/PIK3R1/MAP2K2/CERS2/PPP2R1A/SMPD1/RELA/RAF1/PPP2R3A/PIK3R3/PRKCZ/PIK3CD/ROCK2/ADORA1/GNAI3/SPTLC3/FCER1A/MAPK1/GNAQ/MAPK11/PPP2R1B/PRKCA/ASAH1/S1PR1/MAPK10/PIK3CB/ASAH2/PIK3R2/SPHK2/MAPK13/PPP2R5A/GNA12/PLCB1/SPTLC1/SGPL1/CERS6/SPTLC2/NFKB1/PPP2R5C/RHOA/CERS1/KNG1/AKT1/BAX/MAPK14/FYN/AKT2/GAB2/TNFRSF1A/OPRD1/KRAS/CERS5/RAC3/MS4A2",103
"hsa04921","Oxytocin signaling pathway","128/5851","154/8662",8.71058564154514e-06,6.6033964202125e-05,3.51660164390015e-05,"TRPM2/OXT/ADCY1/CACNG2/CALML5/CALML3/CACNG4/CACNG1/GNAI1/KCNJ3/ROCK1/KCNJ4/CAMKK2/PIK3R6/KCNJ9/KCNJ14/PLA2G4A/KCNJ2/MAP2K1/PLA2G4D/CACNB2/PRKCB/CACNG3/CACNA2D2/PRKAB1/CACNB3/ADCY6/PIK3CG/RYR1/EGFR/CACNA1S/CACNA2D1/ITPR3/CAMK2B/CCND1/NRAS/KCNJ12/KCNJ18/PRKAB2/RGS2/NPR1/JUN/RYR2/CACNA2D4/CACNA1C/ADCY4/EEF2K/NFATC2/HRAS/PLCB2/ADCY2/ADCY9/MAP2K5/NFATC1/MYL9/ELK1/GNAI2/PPP1R12A/PRKACA/CACNA1F/ADCY8/CACNG5/PLCB4/PRKACG/PPP1R12C/NFATC3/GUCY1A2/NOS3/ITPR2/CAMK1D/CAMK1G/NPR2/PLCB3/ADCY7/GNAS/CALM1/PRKCG/CACNG8/CACNG6/EEF2/MAP2K2/PIK3R5/RYR3/PTGS2/ITPR1/ADCY3/MYLK/MEF2C/MYLK3/OXTR/RAF1/ADCY5/CACNA1D/PRKAG3/ROCK2/GNAI3/NFATC4/SRC/MAPK1/FOS/GNAQ/MYLK2/ACTG1/PRKCA/CD38/PPP3CB/KCNJ5/ACTB/PLCB1/CAMK1/PLA2G4E/CACNG7/PLA2G4F/RHOA/CAMK2G/MYLK4/CAMK2A/CAMK2D/PLA2G4C/MYL6B/PRKAG2/PRKAA2/KRAS/CACNB1/CACNA2D3/CACNB4/PPP1R12B/PRKACB",128
"hsa05414","Dilated cardiomyopathy","89/5851","103/8662",8.8994434273683e-06,6.6033964202125e-05,3.51660164390015e-05,"SGCG/ITGA8/ADCY1/CACNG2/LAMA1/PLN/CACNG4/CACNG1/TNF/SNTA1/ADRB1/DMD/LAMA2/CACNB2/CACNG3/CACNA2D2/MYH6/MYH7/CACNB3/ADCY6/CACNA1S/CACNA2D1/ITGB3/TTN/CAV3/AGT/SLC8A1/RYR2/CACNA2D4/CACNA1C/ADCY4/ITGA9/ADCY2/ADCY9/ATP2A3/ITGA2/DTNA/PRKACA/ITGA5/CACNA1F/ADCY8/CACNG5/SNTB1/PRKACG/EMD/ITGB6/TGFB2/ADCY7/GNAS/CACNG8/CACNG6/ITGB1/SLC8A3/ACTC1/ITGB5/SLC8A2/ADCY3/ITGA4/ITGA10/ADCY5/CACNA1D/ITGA6/ITGAV/ITGA11/ITGB8/ITGA1/ITGB7/ACTG1/ATP2A1/ACTB/TGFB1/SGCD/SGCA/CACNG7/ITGA2B/SGCB/ATP2A2/MYBPC3/NOS1/DAG1/ITGA7/CACNB1/ITGB4/ITGA3/CACNA2D3/CACNB4/PRKACB/LMNA/TNNT2",89
